log_10[M_LIV_GeV],Ne,err_Ne,Nmu-,err_Nmu-,Ne_LI,err_Ne_LI,Nmu_-_LI,err_Nmu_-_LI
19.689655172413794,2180839000.0,52803820.0,21744808.2,600548.5599999999,2437641000.0,57945040.0,21178321.6,672811.86
19.79310344827586,2212215000.0,52135730.0,22270460.1,721195.9099999999,2437641000.0,57945040.0,21178321.6,672811.86
19.896551724137932,2132524000.0,53695640.0,20599365.3,679545.92,2437641000.0,57945040.0,21178321.6,672811.86
20.0,2152255000.0,54391980.0,20768255.4,657813.11,2437641000.0,57945040.0,21178321.6,672811.86
20.103448275862068,2187793000.0,52685710.0,22392972.9,723675.8400000001,2437641000.0,57945040.0,21178321.6,672811.86
20.20689655172414,2211327000.0,55160840.0,21846227.9,749332.37,2437641000.0,57945040.0,21178321.6,672811.86
20.310344827586206,2286647000.0,55228010.0,20816294.8,622372.28,2437641000.0,57945040.0,21178321.6,672811.86
20.413793103448274,2269658000.0,50745500.0,21818018.4,677816.23,2437641000.0,57945040.0,21178321.6,672811.86
20.517241379310345,2314058000.0,52297840.0,21472328.8,652571.28,2437641000.0,57945040.0,21178321.6,672811.86
20.620689655172413,2182028000.0,50771090.0,21925177.7,698982.51,2437641000.0,57945040.0,21178321.6,672811.86
20.724137931034484,2292857000.0,54241400.0,22072592.3,619745.79,2437641000.0,57945040.0,21178321.6,672811.86
20.82758620689655,2235880000.0,59535920.0,20479856.4,662246.71,2437641000.0,57945040.0,21178321.6,672811.86
20.93103448275862,2242887000.0,53661450.0,22024628.5,890293.49,2437641000.0,57945040.0,21178321.6,672811.86
21.03448275862069,2375039000.0,53228160.0,22127361.0,644985.14,2437641000.0,57945040.0,21178321.6,672811.86
21.137931034482758,2318887000.0,58672830.0,21523642.5,736528.83,2437641000.0,57945040.0,21178321.6,672811.86
21.24137931034483,2348134000.0,65132260.0,21641853.4,650323.0,2437641000.0,57945040.0,21178321.6,672811.86
21.344827586206897,2289387000.0,56352760.0,21814686.0,649917.0900000001,2437641000.0,57945040.0,21178321.6,672811.86
21.448275862068964,2354996000.0,55184610.0,21063172.5,694703.47,2437641000.0,57945040.0,21178321.6,672811.86
21.551724137931036,2374810000.0,58040800.0,21802802.1,673849.55,2437641000.0,57945040.0,21178321.6,672811.86
21.655172413793103,2403693000.0,58759150.0,21961490.6,814439.38,2437641000.0,57945040.0,21178321.6,672811.86
21.75862068965517,2380806000.0,60529800.0,20763072.1,697590.35,2437641000.0,57945040.0,21178321.6,672811.86
21.862068965517242,2370516000.0,57023970.0,20980241.3,672213.13,2437641000.0,57945040.0,21178321.6,672811.86
21.96551724137931,2448481000.0,55573060.0,21854598.8,668540.53,2437641000.0,57945040.0,21178321.6,672811.86
22.06896551724138,2325507000.0,58984130.0,23412678.2,829018.64,2437641000.0,57945040.0,21178321.6,672811.86
22.17241379310345,2305165000.0,47142620.0,21571916.9,716424.77,2437641000.0,57945040.0,21178321.6,672811.86
22.275862068965516,2448593000.0,61850380.0,20989490.5,726326.27,2437641000.0,57945040.0,21178321.6,672811.86
22.379310344827587,2354059000.0,53643920.0,22227922.0,659705.5599999999,2437641000.0,57945040.0,21178321.6,672811.86
22.482758620689655,2381058000.0,52815400.0,21668138.9,663898.9400000001,2437641000.0,57945040.0,21178321.6,672811.86
22.586206896551722,2367858000.0,58543730.0,21487324.5,618980.5,2437641000.0,57945040.0,21178321.6,672811.86
22.689655172413794,2362658000.0,54642300.0,22070037.3,656117.92,2437641000.0,57945040.0,21178321.6,672811.86
22.79310344827586,2439485000.0,59815390.0,22103920.1,673950.4099999999,2437641000.0,57945040.0,21178321.6,672811.86
22.896551724137932,2422412000.0,53537580.0,20188731.6,666283.8,2437641000.0,57945040.0,21178321.6,672811.86
23.0,2432920000.0,60565200.0,22366850.9,754003.14,2437641000.0,57945040.0,21178321.6,672811.86
23.103448275862068,2424505000.0,61601510.0,21067182.8,733220.83,2437641000.0,57945040.0,21178321.6,672811.86
23.20689655172414,2400374000.0,59934440.0,22215684.9,655745.92,2437641000.0,57945040.0,21178321.6,672811.86
