log_10[E_GeV],Ne,err_Ne,Nmu-,err_Nmu-
9.362416107382552,386091500.0,15727570.0,5512956.3,165151.49
9.389261744966445,404061400.0,13629280.0,5954808.0,174169.65
9.416107382550337,425530400.0,18408700.0,6007717.1,202307.25
9.44295302013423,468313800.0,16868200.0,6785231.1,202875.38
9.469798657718123,455395400.0,18275280.0,7175334.3,200452.36000000002
9.496644295302016,534409800.0,18137180.0,7476436.0,220088.32
9.523489932885909,558254300.0,19718490.0,7581814.5,248422.97999999998
9.5503355704698,591264300.0,18898400.0,7879703.7,266383.81
9.577181208053693,637008100.0,25032060.0,8695815.5,284631.77
9.604026845637586,623810900.0,19202290.0,9882194.7,305646.7
9.630872483221479,678707000.0,21558120.0,9899329.1,321586.11
9.65771812080537,761087800.0,24341260.0,10274474.4,363412.64
9.684563758389263,782700700.0,26862580.0,10619892.2,407637.12
9.711409395973156,853071000.0,28914620.0,11567685.1,374061.16000000003
9.73825503355705,931358100.0,28186220.0,11873584.9,374758.82
9.765100671140942,941652600.0,27901440.0,13467046.4,440227.50999999995
9.791946308724834,1006641000.0,33359450.0,13674154.7,387377.32999999996
9.818791946308727,1094235000.0,34711100.0,14551317.4,484806.23
9.84563758389262,1156250000.0,30769990.0,14541662.7,500665.80999999994
9.872483221476513,1292489000.0,42198360.0,16259708.2,519523.52999999997
9.899328859060404,1260141000.0,38934120.0,18295446.8,583788.26
9.926174496644297,1395473000.0,41683260.0,19123070.4,691975.05
9.95302013422819,1434915000.0,40809540.0,19846931.2,541889.4099999999
9.979865771812083,1596929000.0,49288870.0,21292875.3,657738.96
10.006711409395976,1603019000.0,44444830.0,21765425.6,673571.1599999999
10.033557046979867,1714700000.0,46337800.0,23248908.7,798373.9099999999
10.06040268456376,1849573000.0,46756820.0,24644429.2,707414.67
10.087248322147653,1969296000.0,52204150.0,26211188.0,844297.51
10.114093959731546,2160790000.0,57199800.0,29281584.2,837434.13
10.14093959731544,2173732000.0,50982030.0,29249378.8,834530.77
10.16778523489933,2383838000.0,54127380.0,30381111.7,810866.75
10.194630872483224,2497187000.0,61323150.0,33354312.0,863101.95
10.221476510067117,2604148000.0,68416520.0,34360474.8,1097631.77
10.24832214765101,2685101000.0,73553440.0,35884480.4,1168165.3900000001
10.2751677852349,3037988000.0,73211400.0,39498795.6,1080260.1400000001
10.302013422818794,3122958000.0,71448720.0,40579455.0,1059477.1800000002
10.328859060402687,3300819000.0,75369470.0,44281109.8,985313.3099999999
10.35570469798658,3583769000.0,87888360.0,46583330.2,990755.49
10.382550335570473,3793746000.0,96980200.0,50364346.6,1236015.5
10.409395973154364,4010110000.0,100745900.0,53345938.2,1202602.6300000001
10.436241610738257,4254137000.0,103913800.0,55271611.3,1368487.67
10.46308724832215,4442450000.0,110537800.0,55090961.7,1456516.26
10.489932885906043,4643558000.0,117644100.0,60016950.9,1538263.4
10.516778523489934,5225460000.0,105096300.0,66074407.9,1388186.3900000001
10.543624161073827,5548286000.0,136204400.0,68086902.0,1552966.06
10.57046979865772,5925178000.0,120265700.0,74537014.1,1537336.25
10.597315436241614,6349189000.0,145794300.0,77162990.2,1574496.04
10.624161073825507,6539497000.0,127672400.0,84130378.4,1645874.67
10.651006711409398,6883545000.0,164262800.0,86234012.2,1769987.0699999998
10.67785234899329,7213821000.0,135715700.0,94567861.0,1818272.6800000002
10.704697986577184,8174220000.0,162882800.0,100291247.6,1751919.0399999998
10.731543624161077,8487850000.0,169861500.0,106381441.4,2076946.55
