log_10[E_GeV],Ne,err_Ne,Nmu-,err_Nmu-
9.389261744966445,506563900.0,18823870.0,5746456.1,184364.25
9.416107382550337,572323600.0,21839630.0,6656020.1,207509.95
9.44295302013423,571911100.0,19502720.0,6597561.9,235166.12999999998
9.469798657718123,581718700.0,20533940.0,7064319.5,240320.22000000003
9.496644295302016,679476700.0,27367490.0,7321249.6,229762.1
9.523489932885909,687625400.0,25108170.0,7665564.1,248305.47999999998
9.5503355704698,790877500.0,22355270.0,8043198.8,287337.0
9.577181208053693,804828900.0,26653270.0,8413110.8,276256.44
9.604026845637586,914601100.0,27963070.0,9112478.5,331995.37
9.630872483221479,982605500.0,32538200.0,9420338.9,312927.8
9.65771812080537,992234900.0,29141750.0,10017198.1,283131.72000000003
9.684563758389263,1045274000.0,32421100.0,11288008.4,366334.77
9.711409395973156,1132517000.0,29148530.0,11461565.0,320042.55
9.73825503355705,1282300000.0,32495060.0,12518110.6,379693.02999999997
9.765100671140942,1299928000.0,37968730.0,13570112.1,417545.77999999997
9.791946308724834,1423104000.0,37900410.0,13505842.3,419571.61
9.818791946308727,1475620000.0,37487980.0,14424621.5,426418.32999999996
9.84563758389262,1667834000.0,46708670.0,14875705.7,425016.55999999994
9.872483221476513,1762094000.0,40611040.0,16460654.4,529841.39
9.899328859060404,1953743000.0,47396690.0,17360859.4,530578.0
9.926174496644297,1982722000.0,47270330.0,19403397.5,592967.42
9.95302013422819,2150556000.0,56625900.0,19428019.6,660470.8400000001
9.979865771812083,2231159000.0,58308810.0,21078453.2,723548.1
10.006711409395976,2479220000.0,57566440.0,20887550.4,661294.29
10.033557046979867,2710989000.0,67906560.0,23088742.7,695531.9299999999
10.06040268456376,2635754000.0,55561300.0,26400101.1,775652.6
10.087248322147653,3058316000.0,70610130.0,26168247.7,759792.17
10.114093959731546,3239580000.0,66557770.0,27665686.3,813244.08
10.14093959731544,3338883000.0,71083670.0,29341633.1,802072.95
10.16778523489933,3750520000.0,90007610.0,31145148.9,815157.21
10.194630872483224,3835922000.0,80018370.0,32204222.6,820747.92
10.221476510067117,4047343000.0,82930080.0,34185107.8,943256.53
